"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Global and overview maps","hsa01230","Biosynthesis of amino acids","3/47","75/9376",0.04,7.97957446808511,4.30736599782259,0.00619366979935955,0.019186697919104,0.00997804465717814,"5315/2023/2597",3
"Human Diseases","Cancer: specific types","hsa05224","Breast cancer","4/47","148/9376",0.027027027027027,5.39160437032777,3.82223419925099,0.0062813594378019,0.019186697919104,0.00997804465717814,"2247/3479/89780/7474",4
"Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","5/47","238/9376",0.0210084033613445,4.19095297693546,3.53916105732281,0.00650376339027278,0.0195112901708183,0.0101468488983579,"2247/3082/3479/7422/5155",5
"Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","3/47","77/9376",0.038961038961039,7.77231279358939,4.23527161971537,0.00666300167088641,0.0196383207141915,0.0102129111483577,"7040/7043/7422",3
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","3/47","78/9376",0.0384615384615385,7.67266775777414,4.20019111850946,0.00690541401234527,0.0200018888633449,0.0104019848098849,"3678/3688/3586",3
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","5/47","248/9376",0.0201612903225806,4.0219629375429,3.42329384333513,0.0077117107464577,0.0216063749510929,0.0112363980008816,"3320/60/7846/302/2597",5
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","4/47","157/9376",0.0254777070063694,5.08253150833446,3.6614616067533,0.00771656248253317,0.0216063749510929,0.0112363980008816,"3685/3690/7040/3586",4
"Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","3/47","82/9376",0.0365853658536585,7.29839128178516,4.06585840437888,0.00792735167229289,0.0218327062450034,0.0113541016186421,"3312/3320/3303",3
"Cellular Processes","Transport and catabolism","hsa04146","Peroxisome","3/47","83/9376",0.036144578313253,7.21045885670341,4.03368320856461,0.00819603877807352,0.0222086212051024,0.0115495962407488,"6647/6648/847",3
"Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","7/47","480/9376",0.0145833333333333,2.90921985815603,3.04786828678013,0.00936484326286785,0.0249729153676476,0.0129871677663831,"89780/7474/22943/6647/847/2876/7846",7
