"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.77854660006018e-06,0.790590477846393,0.291,0.226,0.0451519625357277,"3","POLR3K"
1.7808239379904e-06,0.598228814015552,0.43,0.39,0.0452097773137623,"3","MRPS27"
2.22042945531226e-06,0.892345590462957,0.269,0.205,0.0563700425820123,"3","AAGAB"
2.34187975439395e-06,0.566543581822368,0.479,0.44,0.0594533013247991,"3","CSRNP1"
2.40535107519586e-06,0.723151813021638,0.34,0.275,0.0610646477459972,"3","FAM210A"
2.49600803142295e-06,0.684898950757255,0.371,0.315,0.0633661558937343,"3","FTSJ3"
2.54752535271454e-06,0.680839880500725,0.375,0.332,0.0646740261293639,"3","ERCC1"
2.5826451888901e-06,0.525797383766378,0.475,0.445,0.065565613410353,"3","ZNF706"
2.62599485615093e-06,0.532269128853658,0.477,0.446,0.0666661314131035,"3","RUVBL2"
3.040574967263e-06,0.600768972256179,0.417,0.374,0.0771910766939059,"3","RBM26"
3.05867536860829e-06,0.786638274028193,0.291,0.227,0.0776505915828587,"3","RABGEF1"
3.09144700802909e-06,0.678395397178956,0.384,0.335,0.0784825651928344,"3","PSME4"
3.31237845393841e-06,0.597382107764834,0.414,0.37,0.0840913518101345,"3","MAPK6"
3.40811309535045e-06,0.526176762702424,0.46,0.427,0.0865217671516619,"3","PFDN1"
3.53421343384602e-06,0.64243753116463,0.404,0.355,0.0897230764450488,"3","ASNA1"
3.57815027852795e-06,0.597540244683073,0.416,0.37,0.090838501120989,"3","FAM57A"
3.81814780568656e-06,0.804170637837491,0.312,0.253,0.0969313183429646,"3","DNAAF5"
3.86779872119712e-06,0.822696935464402,0.293,0.233,0.0981918061350312,"3","ZCCHC10"
4.11869114303679e-06,0.764880321958948,0.345,0.289,0.104561212048275,"3","MED27"
4.19326063861264e-06,0.678637608282426,0.378,0.329,0.106454307832459,"3","AKIRIN1"
4.24932104692871e-06,0.519202954260384,0.44,0.388,0.107877513418379,"3","SLC6A8"
4.25635619378456e-06,0.609404572925909,0.41,0.364,0.108056114691609,"3","RBM42"
4.41733961486898e-06,0.542192975821423,0.477,0.464,0.112143000802679,"3","CHMP1A"
4.58643220569733e-06,0.855278402449413,0.286,0.226,0.116435754406038,"3","EXOSC9"
4.90047076768018e-06,0.931038451864057,0.25,0.191,0.124408251379097,"3","NOL10"
