"","Proliferating_M","FC-Regulatory","Meniscus_Progenitor","Endothelial","FC-Metabolic","FC-Inflammatory","Proliferating_S","FC-Degenerated","Smooth_Muscle","Macrophage","OuterZone_FC","Stem_Progenitor","FC-ECM","Proliferating_G2M","Male_Inflammatory","Secretory_Chondrocyte","Hypertrophic_Chondrocyte"
"hsa-miR-92a-3p",0.112783374913392,0.12389573508524,0.113302452257193,0.0838410213575422,0.0269687817471788,0.0806619443548223,0.0682760498936738,0.0354784546712177,0.142411698929415,0.052862215103478,0.046874151477888,0.266219030919171,0.165621765285589,0.117769020857624,0.0851922472994703,0.0713271062918567,0.0431833814128752
"hsa-miR-23b-3p",0.107602891167838,0.139162994527085,0.142925065178138,0.0952297463459769,0.0935926893341119,0.110931968086249,0.0853328338323723,0.0740119906405289,0.167543183150621,0.0944686184917781,0.129499236248088,0.201731002819384,0.113418944541428,0.0928506092993483,0.0762524185655443,0.0835513306642436,0.0869197911110684
"hsa-miR-135b-5p",0.079290449015927,0.0776257020368526,0.0943305539672991,0.087447698642973,0.103225274953425,0.0902558458203073,0.0883893308787972,0.0737008406071757,0.0920790662143422,0.0831588160837593,0.0888032955758619,0.0929209787251755,0.0754628870725192,0.0908450315968339,0.0842781780090374,0.0803609763694412,0.0922126364310255
"hsa-miR-let-7a-5p",0.0255970614080628,0.0164537017639812,0.0181005808938249,0.0234937143815925,0.0965698149030934,0.0517451877905425,0.0312218022375202,0.043036811971121,0.0506386665173512,0.0133739643114575,0.0195439454943179,0.0105057168512411,0.0194792961359807,0.026317272986488,0.0161781792064645,0.0614505110403268,0.0520223942816547
"hsa-miR-let-7b-5p",0.0255970614080628,0.0164537017639812,0.0181005808938249,0.0234937143815925,0.0965698149030934,0.0517451877905425,0.0312218022375202,0.043036811971121,0.0506386665173512,0.0133739643114575,0.0195439454943179,0.0105057168512411,0.0194792961359807,0.026317272986488,0.0161781792064645,0.0614505110403268,0.0520223942816547
"hsa-miR-125b-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-130a-3p",0.0779800218765055,0.0836266290269693,0.0806074479822315,0.0877865773319367,0.0634907733380643,0.0812653344260601,0.0846090809035594,0.0815301682185643,0.0586178228778543,0.0988377722262404,0.0779124404508042,0.0653398890118548,0.0876902541945115,0.0806483592265559,0.0912009824380758,0.0871187050069367,0.0858581132769043
"hsa-miR-210-3p",0.303765704073158,0.338824445840467,0.287340834685433,0.258567278415736,0.331067244509282,0.293249819697521,0.285196036183477,0.369559646898956,0.276260920353124,0.411101893068863,0.307396419285823,0.256709277738282,0.336203174862742,0.337713372518611,0.313892326394838,0.389382388624442,0.425913950740769
"hsa-miR-22-3p",0,0.00188175034387881,0.000728056664723336,0.00263376408010136,0.00415785652376811,0.00288672893559112,0.0010651999872939,0.0034384776106252,0,0.000934372885037557,0,0,0.00147475021310324,0.00135372525257328,0.00172581702563726,0.00275165199488754,0
"hsa-miR-27a-3p",0.00461700088982877,0.00989973148873168,0.016636790310498,0.00120076256078429,0.00134920249657949,0.0107056440150254,0.0073577707690585,0.00727675398317364,0.00724422855228034,0.0104409859115376,0.00797852200387273,0.154195076268238,0.0064575205159024,0.00590100414012313,0.00663077514116041,0.0146424404787143,0.00339409384554843
"hsa-miR-27b-3p",0.00144915402208206,0.00148625278033259,0.00386041974395198,0.010101680150305,0.00153883329859237,0.00215497838055423,0.00197163363498572,0.00197323455722556,0.0110221568470439,0.00243220617866991,0.00865017443333072,0.00565920199194218,0.00101387271928961,0.000561600862597136,0.000857297586431456,0.00224877826881323,0.00298488667349715
