"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0071559","response to transforming growth factor beta","5/19","318/18860",0.0157232704402516,15.6074147633234,8.34243417094396,1.26456995338209e-05,0.000464518696209023,0.000183399618970035,"COL1A1/DKK3/SMAD5/SMAD2/PPARG",5
"GO:0030198","extracellular matrix organization","5/19","331/18860",0.0151057401812689,14.9944347273016,8.15694479389039,1.53448836265611e-05,0.000532915894919163,0.000210403957620837,"ADAMTS5/MMP13/ADAMTS4/COL1A1/PPARG",5
"GO:0046879","hormone secretion","5/19","331/18860",0.0151057401812689,14.9944347273016,8.15694479389039,1.53448836265611e-05,0.000532915894919163,0.000210403957620837,"FOXO1/HMGA2/SMAD2/HIF1A/PPARG",5
"GO:0043062","extracellular structure organization","5/19","332/18860",0.0150602409638554,14.9492707672796,8.14311243232791,1.55697888879776e-05,0.000532915894919163,0.000210403957620837,"ADAMTS5/MMP13/ADAMTS4/COL1A1/PPARG",5
"GO:0045229","external encapsulating structure organization","5/19","333/18860",0.015015015015015,14.9043780622728,8.12934003671503,1.57972648826612e-05,0.000532915894919163,0.000210403957620837,"ADAMTS5/MMP13/ADAMTS4/COL1A1/PPARG",5
"GO:0009914","hormone transport","5/19","343/18860",0.0145772594752187,14.4698480896118,7.99481834890274,1.82180730217611e-05,0.000602289494099422,0.000237793795231408,"FOXO1/HMGA2/SMAD2/HIF1A/PPARG",5
"GO:0003197","endocardial cushion development","3/19","53/18860",0.0566037735849057,56.1866931479643,12.7760528563962,1.96695441287991e-05,0.000637524636174605,0.000251705208665746,"ADAMTS5/SMAD2/BMP7",3
"GO:0070482","response to oxygen levels","5/19","357/18860",0.0140056022408964,13.9024030664898,7.81569844540202,2.20838602136956e-05,0.000702011941023822,0.000277165856933021,"COL1A1/FOXO1/HIF1A/BMP7/PPARG",5
"GO:0048660","regulation of smooth muscle cell proliferation","4/19","172/18860",0.0232558139534884,23.0844553243574,9.23961040534943,2.32648619512947e-05,0.000725600317084719,0.000286478935646528,"PDCD4/TLR4/PTEN/PPARG",4
"GO:0048659","smooth muscle cell proliferation","4/19","176/18860",0.0227272727272727,22.5598086124402,9.12536956512268,2.54611050811144e-05,0.000779392716649668,0.000307717059459862,"PDCD4/TLR4/PTEN/PPARG",4
