"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","receptor","cell_type"
0.00173286583694898,-1.23324085793974,0.4,0.726,1,"OSMR","Endothelial"
0.00241637187583219,-0.815027831114481,0.6,0.857,1,"IFNGR2","Endothelial"
0.00276513108728483,-1.7882157060788,0.2,0.548,1,"F2R","Endothelial"
0.00330879886965844,1.0915831614703,0.75,0.452,1,"TGFBR1","Endothelial"
0.00359029297382632,-2.03657509310608,0.15,0.512,1,"NOTCH3","Endothelial"
0.00379188150253656,4.02884057100771,0.1,0,1,"ITGB2","Endothelial"
0.00426476491403053,-0.305711829680919,0.95,1,1,"CD99","Endothelial"
0.00664997067257184,1.01000367927382,0.65,0.452,1,"CD55","Endothelial"
0.00730518775232104,0.590726354578213,0.95,0.869,1,"IL6ST","Endothelial"
0.00756758409336923,0.519067574138892,0.95,0.857,1,"NRP2","Endothelial"
0.00808252297782586,1.95605703030826,0.3,0.083,1,"IL6R","Endothelial"
0.0106528435897238,-1.13053954823719,0.45,0.679,1,"SDC2","Endothelial"
0.0108498808738739,-1.3244962896226,0.1,0.452,1,"EPHA2","Endothelial"
0.0149515143143435,2.28275717417382,0.25,0.071,1,"ITGA9","Endothelial"
0.0153707328933759,-1.01371435852906,0.35,0.655,1,"IFNGR1","Endothelial"
0.016764387846605,2.95653707125054,0.15,0.024,1,"DSG2","Endothelial"
0.0194672897922404,0.893131407379637,0.75,0.488,1,"CALCRL","Endothelial"
0.0235028747624079,-1.80211798864169,0.1,0.357,1,"TNFRSF4","Endothelial"
0.0247156670080952,-3.28789091622533,0,0.214,1,"IL18R1","Endothelial"
0.0288533714678888,1.9268616842066,0.25,0.083,1,"CHRNB1","Endothelial"
0.031624324500077,1.30170037314822,0.45,0.274,1,"FZD8","Endothelial"
0.0340728016597968,3.37650540379311,0.1,0.012,1,"MPZ","Endothelial"
0.0347003623965784,-1.1115555007581,0.2,0.488,1,"ICAM1","Endothelial"
0.0361444833220077,-2.89788184918606,0,0.19,1,"FZD10","Endothelial"
0.036549286044104,2.75178233798607,0.1,0.012,1,"SSTR2","Endothelial"
0.0379043028982267,-0.893307329416845,0.35,0.583,1,"PDGFRB","Endothelial"
0.0412123650528568,1.42899835995085,0.4,0.202,1,"IL13RA2","Endothelial"
0.0412561899240062,-0.854043389907325,0.25,0.548,1,"PVR","Endothelial"
0.0428681188171415,3.46377241313581,0.05,0,1,"BMPR1B","Endothelial"
0.0428681188171415,3.11812063129458,0.05,0,1,"CCR7","Endothelial"
0.0428681188171415,3.17492031232683,0.05,0,1,"IL17RE","Endothelial"
0.0428681188171415,3.06482423132836,0.05,0,1,"PRLR","Endothelial"
0.0428681188171415,3.46377241313581,0.05,0,1,"C3AR1","Endothelial"
0.0428681188171415,3.29311899005918,0.05,0,1,"OPRD1","Endothelial"
0.0428681188171415,3.31456193770714,0.05,0,1,"MCHR1","Endothelial"
0.0428681188171415,4.4262010731537,0.05,0,1,"NCAM2","Endothelial"
0.0428681188171415,3.73379404716248,0.05,0,1,"NTNG2","Endothelial"
0.0468891409171829,1.65268283323695,0.2,0.06,1,"NPR1","Endothelial"
0.0477222683985355,2.08706481010724,0.15,0.036,1,"SMO","Endothelial"
0.049649233445338,-0.832078414795581,0.35,0.583,1,"EGFR","Endothelial"
0.0524457200212622,-2.78911526006806,0,0.167,1,"TNFRSF9","Endothelial"
0.0530385999564098,-0.577462890824933,0.6,0.774,1,"MPZL1","Endothelial"
0.0565795343788359,-1.18830512090178,0.15,0.381,1,"ALCAM","Endothelial"
0.0610923720459114,-1.31315324536385,0.15,0.357,1,"PTPRF","Endothelial"
0.061307061490171,0.681775567492279,0.7,0.536,1,"IL4R","Endothelial"
0.0630205463317556,-2.82950823195666,0,0.155,1,"PARD3","Endothelial"
0.0678216931319558,-0.729079950045542,0.4,0.679,1,"CD34","Endothelial"
0.0704251344660116,0.556477434569676,0.85,0.75,1,"JAG1","Endothelial"
0.0761324229331831,1.0045382306564,0.45,0.25,1,"ITGAE","Endothelial"
0.0780683592910531,0.485356257467178,0.8,0.667,1,"IL13RA1","Endothelial"
0.0795986069371752,-0.730142762685253,0.4,0.583,1,"TNFRSF1A","Endothelial"
0.0805481452891946,1.14198982162946,0.4,0.25,1,"ACVR1","Endothelial"
0.0835819071053817,-0.60907283164132,0.55,0.762,1,"IFNAR1","Endothelial"
0.0839550572639096,-0.2241822214648,0.9,0.94,1,"ITGA5","Endothelial"
0.0870361459357318,-1.56349399384481,0.1,0.274,1,"FAS","Endothelial"
0.0879856689106767,-0.632847755814215,0.3,0.548,1,"F2RL3","Endothelial"
0.0906065167550085,-0.975352949019465,0.3,0.464,1,"IL1R1","Endothelial"
0.0955621045923715,-0.808955121033691,0.05,0.226,1,"EDNRA","Endothelial"
0.0961059770177591,-2.02124126916242,0.05,0.202,1,"IL7R","Endothelial"
0.0977450247679067,0.508265279573797,0.65,0.405,1,"CD99L2","Endothelial"
0.10633870242483,-0.357388654473419,0.75,0.881,1,"ESAM","Endothelial"
0.108104654017765,-2.10306460766153,0.1,0.25,1,"IL1RL1","Endothelial"
0.108618833665625,-2.20121998136775,0,0.119,1,"LIFR","Endothelial"
0.112396193795717,0.70971763869899,0.6,0.452,1,"TNFRSF1B","Endothelial"
0.114216980855559,-1.0070004794955,0.25,0.405,1,"F11R","Endothelial"
0.120887414723884,-0.742019051109892,0.2,0.417,1,"ITGA11","Endothelial"
0.121820900659993,1.85116820895422,0.1,0.024,1,"EDNRB","Endothelial"
0.128987790690972,-0.433958057219629,0.7,0.845,1,"CDH5","Endothelial"
0.130094134677155,-2.71243601208188,0,0.107,1,"KIT","Endothelial"
0.132677555606426,0.78787640267423,0.5,0.345,1,"NEGR1","Endothelial"
0.134046880817261,-0.522686535797648,0.55,0.726,1,"GLG1","Endothelial"
0.140056158348964,1.33890169962191,0.2,0.083,1,"ACVR2B","Endothelial"
0.146733605098352,1.31020575387998,0.25,0.119,1,"PLXNA4","Endothelial"
0.155859171800321,-2.00541339727689,0,0.095,1,"IL27RA","Endothelial"
