"Pathway","Cargo_Ligand","Target_Receptor","Sender_CellType","Receiver_CellType","Original_Strength"
"FN1","FN1","ITGA5,ITGB1","Exosome(Virtual)","All_expressing_receptor",1
"FN1","FN1","ITGA8,ITGB1","Exosome(Virtual)","All_expressing_receptor",1
"COLLAGEN","COL1A1","ITGA3,ITGB1","Exosome(Virtual)","All_expressing_receptor",1
"COLLAGEN","COL1A1","ITGA9,ITGB1","Exosome(Virtual)","All_expressing_receptor",1
"COLLAGEN","COL1A1","ITGA10,ITGB1","Exosome(Virtual)","All_expressing_receptor",1
"COLLAGEN","COL1A1","ITGA11,ITGB1","Exosome(Virtual)","All_expressing_receptor",1
"FN1","FN1","ITGAV,ITGB1","Exosome(Virtual)","All_expressing_receptor",1
"FN1","FN1","ITGAV,ITGB3","Exosome(Virtual)","All_expressing_receptor",1
"FN1","FN1","ITGA2B,ITGB3","Exosome(Virtual)","All_expressing_receptor",1
"FN1","FN1","ITGAV,ITGB6","Exosome(Virtual)","All_expressing_receptor",1
"FN1","FN1","ITGAV,ITGB8","Exosome(Virtual)","All_expressing_receptor",1
"COLLAGEN","COL1A1","ITGAV,ITGB8","Exosome(Virtual)","All_expressing_receptor",1
"FN1","FN1","CD44","Exosome(Virtual)","All_expressing_receptor",1
"COLLAGEN","COL1A1","CD44","Exosome(Virtual)","All_expressing_receptor",1
"COLLAGEN","COL1A1","SDC1","Exosome(Virtual)","All_expressing_receptor",1
"FN1","FN1","SDC1","Exosome(Virtual)","All_expressing_receptor",1
"COLLAGEN","COL1A1","SDC4","Exosome(Virtual)","All_expressing_receptor",1
"FN1","FN1","SDC4","Exosome(Virtual)","All_expressing_receptor",1
"COLLAGEN","COL1A1","GP6","Exosome(Virtual)","All_expressing_receptor",1
"ANXA1","ANXA1","FPR2,LXA4","Exosome(Virtual)","All_expressing_receptor",1
"VCAM","ITGB1","VCAM1","Exosome(Virtual)","All_expressing_receptor",1
